,X,Y,Z,grade,formation,borehole
145,374.0,2387.0,-114.60000000000002,2.0620561300678366,5,24
146,374.0,2387.0,-103.0,2.062057500971637,5,24
147,550.0,31.0,-300.2,2.056202569590191,5,25
148,550.0,31.0,-288.6,2.0558131528182364,5,25
149,550.0,31.0,-277.0,2.0554025685349115,5,25
150,550.0,31.0,-265.4,2.054970961582645,5,25
151,550.0,31.0,-253.79999999999998,2.0545188000780925,5,25
152,550.0,31.0,-242.2,2.054046940430444,5,25
153,550.0,31.0,-230.6,2.053556697392135,5,25
154,550.0,31.0,-219.0,2.053049917342548,5,25
155,550.0,31.0,-207.39999999999998,2.05252905208138,5,25
156,550.0,31.0,-195.8,2.051997229326365,5,25
157,330.0,1147.0,-253.79999999999998,2.063335576325779,5,26
158,330.0,1147.0,-242.2,2.0633612974921136,5,26
159,330.0,1147.0,-230.6,2.063385283123368,5,26
160,330.0,1147.0,-219.0,2.063407299455732,5,26
161,330.0,1147.0,-207.39999999999998,2.0634271069561607,5,26
162,506.0,93.0,-288.6,2.0566482902703096,5,27
163,506.0,93.0,-277.0,2.056347357092036,5,27
164,506.0,93.0,-265.4,2.0560363662088683,5,27
165,506.0,93.0,-253.79999999999998,2.0557162649895537,5,27
166,506.0,93.0,-242.2,2.0553882512905486,5,27
167,506.0,93.0,-230.6,2.055053795892488,5,27
168,506.0,93.0,-219.0,2.0547146619371395,5,27
169,506.0,93.0,-207.39999999999998,2.0543729197869345,5,27
170,242.0,2139.0,-114.60000000000002,2.062281949551852,5,28
171,242.0,2139.0,-103.0,2.0622814691591933,5,28
172,462.0,31.0,-277.0,2.0565252575627846,5,29
173,462.0,31.0,-265.4,2.056249027550817,5,29
174,462.0,31.0,-253.79999999999998,2.0559667815808145,5,29
175,462.0,31.0,-242.2,2.0556796931370145,5,29
176,462.0,31.0,-230.6,2.055389141294433,5,29
177,462.0,31.0,-219.0,2.055096718581412,5,29
178,330.0,2883.0,-103.0,2.0621139668323987,5,30
179,330.0,2883.0,-91.39999999999998,2.062109269101376,5,30
180,330.0,2883.0,-79.80000000000001,2.062104160858457,5,30
181,330.0,1333.0,-288.6,2.0640363734158034,5,31
